filename,cik,name,address,city,state,zip,ticker,exchange,subsidiaries
03/000157199623000007.htm,0001571996,Dell Technologies Inc.,One Dell Way,Round Rock,Texas,78682,DELL,New York Stock Exchange,
03/000173112223000505.htm,0001855509,TWIN VEE POWERCATS CO.,3101 S US-1 Ft. Pierce,Florida,Delaware,34982,VEEE,Nasdaq,
03/000141057823000201.htm,0001512931,MONROE CAPITAL CORPORATION,"311 South Wacker Drive, Suite 6400",Chicago,Illinois,60606,MRCC,The Nasdaq Global Select Market,
03/000123258223000032.htm,0001232582,"ASHFORD HOSPITALITY TRUST, INC.",14185 Dallas Parkway,Dallas,Texas,75254,AHT,New York Stock Exchange,
03/000135657623000016.htm,0001356576,"SUPERNUS PHARMACEUTICALS, INC.",9715 Key West Avenue,Rockville,MD,20850,SUPN,NASDAQ Stock Market LLC,
03/000155837023002954.htm,0001711933,"Akoya Biosciences, Inc.",100 Campus Drive,Marlborough,Massachusetts,01752,AKYA,Nasdaq Global Select Market,
03/000141980623000005.htm,0001419806,RARE ELEMENT RESOURCES LTD,P.O. Box 271049,"Littleton,",Colorado,80127,,,
03/000143774923005106.htm,0001173489,CEVA INC,"15245 Shady Grove Road, Suite 400",Rockville,MD,20850,CEVA,NASDAQ,
03/000168316823001523.htm,0000889609,"CONSUMER PORTFOLIO SERVICES, INC.",3800 Howard Hughes Pkwy,Las Vegas,NV,89169,CPSS,Nasdaq,
03/000080627923000050.htm,0000806279,"CODORUS VALLEY BANCORP, INC.","105 Leader Heights Road,",York,Pennsylvania,17403,CVLY,NASDAQ,
03/000149315223010284.htm,0001799788,"GREENWICH LIFESCIENCES, INC.",3992 Bluebonnet Dr.,Stafford,Texas,77477,GLSI,NASDAQ,
03/000159991623000056.htm,0001627469,"PHOTOZOU HOLDINGS, INC.",,,,,,,
03/000095017023005490.htm,0001858257,"AvidXchange Holdings, Inc.",1210 AvidXchange Lane,Charlotte,NC,28206,AVDX,Nasdaq Global Select Market,
03/000143774923006513.htm,0001464343,Atlanticus Holdings Corp,"Five Concourse Parkway, Suite 300",Atlanta,Georgia,30328,ATLC,NASDAQ,
